config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
backend_auto,single_stream,ok,fp8,131072,8,auto,0.3,off,0,False,512,1024,3,1,3,0,44.8,68.62,103.33,0.067,70.0,105.3,104.5,107.0,14.48,14.5,14.47,14922.9,0,0,,,,,15.2,,19.29,665984,5.08,3067,43791,44467,44437,95.1
backend_auto,batch8_balanced,ok,fp8,131072,8,auto,0.3,off,0,False,1024,1024,16,8,16,0,95.4,171.68,344.42,0.1677,216.0,636.5,632.8,869.6,45.99,46.31,45.95,47684.2,0,0,,,,,15.2,,19.29,665984,5.08,3067,43791,44552,44469,131.9
backend_triton,single_stream,ok,fp8,131072,8,auto,0.3,off,0,False,512,1024,3,1,3,0,44.6,68.88,103.72,0.0673,70.0,105.7,105.8,106.0,14.43,14.43,14.41,14866.5,0,0,,,,,15.2,,19.12,660016,5.04,3069,43589,44236,44146,95.2
backend_triton,batch8_balanced,ok,fp8,131072,8,auto,0.3,off,0,False,1024,1024,16,8,16,0,97.4,168.23,337.5,0.1643,208.0,726.9,759.5,1148.0,46.86,47.39,46.81,48663.5,0,0,,,,,15.2,,19.12,660016,5.04,3069,43589,44253,44150,134.3
backend_cutlass,-,server_unhealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3051,3237,,,
kv_auto,single_stream,ok,fp8,131072,8,auto,0.3,off,0,False,512,1024,3,1,3,0,44.5,69.02,103.94,0.0674,70.0,104.2,104.4,105.0,14.4,14.42,14.39,14835.3,0,0,,,,,15.2,,19.33,667360,5.09,3237,43853,44540,44497,94.5
kv_auto,batch8_balanced,ok,fp8,131072,8,auto,0.3,off,0,False,1024,1024,16,8,16,0,94.9,172.65,346.37,0.1686,216.0,582.7,603.6,869.2,45.78,46.1,45.74,47418.0,0,0,,,,,15.2,,19.33,667360,5.09,3237,43853,44556,44505,130.4
kv_auto,codegen_decode,ok,fp8,131072,8,auto,0.3,off,0,False,1024,4096,8,8,8,0,196.9,166.43,208.29,0.0406,208.0,640.4,694.7,879.5,47.91,48.0,47.9,196834.4,0,0,,,,,15.2,,19.33,667360,5.09,3237,43853,44526,44512,325.1
kv_auto,ctx65k_load,ok,fp8,131072,8,auto,0.3,off,0,False,28000,4000,6,4,6,0,322.7,74.37,595.07,0.0186,96.0,10794.8,8590.6,20647.7,41.78,48.85,41.77,177857.5,0,0,,,,,15.2,,19.33,667360,5.09,3237,43853,45971,45883,509.0
kv_fp8,-,server_unhealthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,,19.21,1326496,10.12,3042,3114,,,
seqs_1,single_stream,ok,fp8,131072,1,auto,0.3,off,0,False,512,1024,3,1,3,0,44.6,68.9,103.76,0.0673,70.0,102.7,102.7,103.0,14.43,14.44,14.41,14861.6,0,0,,,,,15.2,,19.12,660144,5.04,3096,43554,44214,44148,94.6
seqs_1,batch4_balanced,ok,fp8,131072,1,auto,0.3,off,0,False,1024,1024,12,4,12,0,180.2,68.18,136.78,0.0666,69.0,37676.7,45190.6,45205.3,14.56,14.57,14.54,52566.7,0,0,,,,,15.2,,19.12,660144,5.04,3096,43554,44151,44133,230.8
seqs_1,codegen_decode,ok,fp8,131072,1,auto,0.3,off,0,False,1024,4096,8,8,8,0,484.9,67.58,84.58,0.0165,69.0,212274.6,212285.5,420148.7,14.77,14.77,14.76,272751.9,0,0,,,,,15.2,,19.12,660144,5.04,3096,43554,44139,44125,672.3
seqs_2,single_stream,ok,fp8,131072,2,auto,0.3,off,0,False,512,1024,3,1,3,0,44.5,68.97,103.86,0.0674,70.0,104.2,103.9,105.0,14.41,14.42,14.4,14847.1,0,0,,,,,15.2,,19.08,658752,5.03,3068,43993,44636,44580,94.6
seqs_2,batch4_balanced,ok,fp8,131072,2,auto,0.3,off,0,False,1024,1024,12,4,12,0,124.7,98.51,197.63,0.0962,108.0,17530.1,20981.0,21088.8,20.13,20.21,20.11,38125.6,0,0,,,,,15.2,,19.08,658752,5.03,3068,43993,44626,44579,166.2
seqs_2,codegen_decode,ok,fp8,131072,2,auto,0.3,off,0,False,1024,4096,8,8,8,0,336.2,97.47,121.98,0.0238,104.0,126297.3,126309.0,252389.7,20.48,20.49,20.47,210146.5,0,0,,,,,15.2,,19.08,658752,5.03,3068,43993,44589,44570,486.6
seqs_4,single_stream,ok,fp8,131072,4,auto,0.3,off,0,False,512,1024,3,1,3,0,44.5,69.04,103.96,0.0674,70.0,105.7,105.1,107.3,14.4,14.42,14.38,14832.1,0,0,,,,,15.2,,19.22,663424,5.06,3050,43706,44368,44292,94.5
seqs_4,batch4_balanced,ok,fp8,131072,4,auto,0.3,off,0,False,1024,1024,12,4,12,0,93.6,131.22,263.25,0.1281,144.0,422.7,420.1,760.1,30.09,30.46,30.06,31205.3,0,0,,,,,15.2,,19.22,663424,5.06,3050,43706,44383,44309,130.7
seqs_4,codegen_decode,ok,fp8,131072,4,auto,0.3,off,0,False,1024,4096,8,8,8,0,255.1,128.43,160.73,0.0314,144.0,64291.0,64238.9,128356.4,31.06,31.14,31.05,191463.4,0,0,,,,,15.2,,19.22,663424,5.06,3050,43706,44349,44322,385.4
seqs_8,single_stream,ok,fp8,131072,8,auto,0.3,off,0,False,512,1024,3,1,3,0,44.7,68.74,103.52,0.0671,70.0,104.4,104.7,107.1,14.46,14.48,14.44,14895.8,0,0,,,,,15.2,,19.25,664624,5.07,3067,43815,44503,44447,94.9
seqs_8,batch4_balanced,ok,fp8,131072,8,auto,0.3,off,0,False,1024,1024,12,4,12,0,92.3,133.2,267.22,0.1301,148.0,345.8,350.7,477.3,29.71,29.99,29.68,30742.0,0,0,,,,,15.2,,19.25,664624,5.07,3067,43815,44490,44454,128.0
seqs_8,codegen_decode,ok,fp8,131072,8,auto,0.3,off,0,False,1024,4096,8,8,8,0,196.9,166.42,208.27,0.0406,216.0,635.0,688.5,873.0,47.92,48.0,47.9,196853.0,0,0,,,,,15.2,,19.25,664624,5.07,3067,43815,44495,44474,326.0
seqs_16,single_stream,ok,fp8,131072,16,auto,0.3,off,0,False,512,1024,3,1,3,0,44.7,68.7,103.45,0.0671,70.0,105.9,105.7,107.6,14.47,14.49,14.45,14905.3,0,0,,,,,15.2,,19.15,661168,5.04,3056,43796,44446,44399,95.2
seqs_16,batch4_balanced,ok,fp8,131072,16,auto,0.3,off,0,False,1024,1024,12,4,12,0,92.8,132.41,265.64,0.1293,148.0,418.3,388.7,773.2,29.82,30.27,29.79,30925.0,0,0,,,,,15.2,,19.15,661168,5.04,3056,43796,44523,44411,129.5
seqs_16,codegen_decode,ok,fp8,131072,16,auto,0.3,off,0,False,1024,4096,8,8,8,0,196.5,166.79,208.74,0.0407,216.0,633.3,686.1,869.7,47.81,47.89,47.8,196411.8,0,0,,,,,15.2,,19.15,661168,5.04,3056,43796,44426,44404,325.5
prefix_off,agent_turn_solo,ok,fp8,131072,8,auto,0.3,off,0,False,400,600,20,1,20,0,201.8,57.56,891.74,0.0991,65.0,1107.9,1109.2,1115.4,15.49,15.52,15.46,10087.5,0,0,,,,,15.2,,19.27,665312,5.08,3066,43801,44591,44526,236.2
prefix_off,agent_turn_parallel,ok,fp8,131072,8,auto,0.3,off,0,False,400,600,40,8,40,0,206.1,119.5,1750.59,0.1941,168.0,2070.5,1253.6,7906.7,61.05,65.88,60.82,39520.2,0,0,,,,,15.2,,19.27,665312,5.08,3066,43801,44598,44551,235.9
prefix_on,agent_turn_solo,ok,fp8,131072,8,auto,0.3,off,0,True,400,600,20,1,20,0,181.4,64.0,991.58,0.1102,66.0,126.3,127.8,137.7,15.43,15.47,15.41,9071.8,0,0,,,,,15.2,,19.23,663680,5.06,3056,43719,44485,44433,213.8
prefix_on,agent_turn_parallel,ok,fp8,131072,8,auto,0.3,off,0,True,400,600,40,8,40,0,154.1,159.8,2341.02,0.2595,200.0,276.5,214.4,639.9,47.2,48.67,47.1,29274.3,0,0,,,,,15.2,,19.23,663680,5.06,3056,43719,45148,45037,181.2
ctx_8k,ctx8k_load,ok,fp8,8192,16,auto,0.3,off,0,False,3600,800,12,8,12,0,62.4,153.77,846.94,0.1922,210.0,1468.1,1122.0,3065.9,40.4,46.11,40.35,33748.9,0,0,,,,,15.2,,19.24,664240,81.08,3077,43804,44543,44456,93.0
ctx_32k,ctx32k_load,ok,fp8,32768,12,auto,0.3,off,0,False,14000,3000,8,6,8,0,243.5,98.57,558.75,0.0329,126.0,5869.2,4972.9,11761.9,47.19,55.6,47.17,147382.5,0,0,,,,,15.2,,19.12,660192,20.15,3060,43757,44775,44669,358.8
ctx_65k,ctx65k_load,ok,fp8,65536,8,auto,0.3,off,0,False,28000,4000,6,4,6,0,322.6,74.39,595.2,0.0186,96.0,10737.5,8549.0,20535.0,41.76,48.8,41.75,177746.5,0,0,,,,,15.2,,19.14,660736,10.08,3068,43606,46709,46546,508.7
ctx_131k,ctx131k_load,ok,fp8,131072,4,auto,0.3,off,0,False,56000,8000,3,2,3,0,510.1,47.05,376.41,0.0059,58.0,20661.4,15701.5,30427.3,32.22,37.56,32.22,278386.4,0,0,,,,,15.2,,19.25,664560,5.07,3093,44278,52243,52023,1027.5
