config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
seqs_1,single_stream,ok,default,65536,1,auto,0.85,off,0,False,512,1024,3,1,3,0,10.3,10.35,158.88,0.2901,37.0,346.5,356.9,364.1,89.4,95.18,28.73,3446.7,0,0,,,,,66.14,476.690281,34.9,983535,15.01,3271,111958,113000,112814,32.1
seqs_1,batch4_balanced,ok,default,65536,1,auto,0.85,off,0,False,1024,1024,12,4,12,0,52.0,12.36,248.86,0.231,38.0,11342.3,13109.1,15248.5,77.75,92.53,28.55,15254.9,0,0,,,,,66.14,476.690281,34.9,983535,15.01,3271,111958,113531,113390,69.6
seqs_1,codegen_decode,ok,default,65536,1,auto,0.85,off,0,False,1024,4096,8,8,8,0,30.5,11.11,279.59,0.2622,37.0,14536.0,15283.5,27061.2,90.61,139.2,29.04,17949.0,0,0,,,,,66.14,476.690281,34.9,983535,15.01,3271,111958,113545,113458,47.8
seqs_2,single_stream,ok,default,65536,2,auto,0.85,off,0,False,512,1024,3,1,3,0,12.1,10.49,137.43,0.2479,38.0,343.0,353.1,358.2,89.55,105.56,28.4,4033.3,0,0,,,,,66.14,474.833799,34.27,965839,14.74,3343,111251,112306,112115,31.0
seqs_2,batch4_balanced,ok,default,65536,2,auto,0.85,off,0,False,1024,1024,12,4,12,0,29.3,17.31,436.84,0.4097,64.0,4376.0,5070.6,6325.7,111.68,193.5,37.01,8604.2,0,0,,,,,66.14,474.833799,34.27,965839,14.74,3343,111251,112637,112447,44.9
seqs_2,codegen_decode,ok,default,65536,2,auto,0.85,off,0,False,1024,4096,8,8,8,0,23.3,16.67,368.65,0.3437,62.0,8414.9,7694.8,18698.6,108.5,184.37,35.52,13237.4,0,0,,,,,66.14,474.833799,34.27,965839,14.74,3343,111251,112734,112310,40.7
seqs_4,single_stream,ok,default,65536,4,auto,0.85,off,0,False,512,1024,3,1,3,0,14.0,14.74,124.65,0.2147,37.0,345.3,357.3,359.5,78.09,95.86,28.26,4658.1,0,0,,,,,66.14,401.865536,35.43,998646,15.24,2889,112763,113510,113362,35.4
seqs_4,batch4_balanced,ok,default,65536,4,auto,0.85,off,0,False,1024,1024,12,4,12,0,25.6,25.54,505.32,0.4685,92.0,610.9,452.4,1151.2,148.92,194.27,51.47,7617.4,0,0,,,,,66.14,401.865536,35.43,998646,15.24,2889,112763,113963,113683,38.4
seqs_4,codegen_decode,ok,default,65536,4,auto,0.85,off,0,False,1024,4096,8,8,8,0,21.5,24.47,406.23,0.3728,100.0,5200.5,4089.8,12106.1,136.14,181.12,48.72,13631.4,0,0,,,,,66.14,401.865536,35.43,998646,15.24,2889,112763,114135,113989,34.9
seqs_8,single_stream,ok,default,65536,8,auto,0.85,off,0,False,512,1024,3,1,3,0,11.6,10.75,142.89,0.2581,37.0,343.0,353.8,359.3,93.88,142.07,28.65,3874.2,0,0,,,,,66.14,405.270844,35.49,1000209,15.26,3280,112428,113830,113292,34.1
seqs_8,batch4_balanced,ok,default,65536,8,auto,0.85,off,0,False,1024,1024,12,4,12,0,25.1,27.11,516.98,0.4784,92.0,635.5,469.4,1153.4,137.55,253.45,51.0,7391.6,0,0,,,,,66.14,405.270844,35.49,1000209,15.26,3280,112428,113645,113508,39.0
seqs_8,codegen_decode,ok,default,65536,8,auto,0.85,off,0,False,1024,4096,8,8,8,0,50.3,35.03,197.79,0.1589,136.0,1438.0,1465.9,2169.8,182.16,291.68,43.54,14483.8,0,0,,,,,66.14,405.270844,35.49,1000209,15.26,3280,112428,113656,113581,63.7
seqs_16,single_stream,ok,default,65536,16,auto,0.85,off,0,False,512,1024,3,1,3,0,11.9,15.57,144.83,0.2525,37.0,346.8,358.8,364.9,59.59,62.84,28.55,3960.6,0,0,,,,,66.14,455.216781,34.92,984309,15.02,2881,111963,112999,112833,31.9
seqs_16,batch4_balanced,ok,default,65536,16,auto,0.85,off,0,False,1024,1024,12,4,12,0,28.6,29.13,458.87,0.4197,92.0,635.1,469.9,1146.8,145.7,226.34,50.61,8512.1,0,0,,,,,66.14,455.216781,34.92,984309,15.02,2881,111963,113101,112988,43.1
seqs_16,codegen_decode,ok,default,65536,16,auto,0.85,off,0,False,1024,4096,8,8,8,0,14.5,29.35,593.75,0.5512,136.0,1438.6,1467.0,2171.1,211.27,323.78,62.2,10057.0,0,0,,,,,66.14,455.216781,34.92,984309,15.02,2881,111963,113113,112966,27.8
