config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
backend_auto,single_stream,ok,fp8,131072,16,fp8,0.5,off,0,False,512,1024,3,1,3,0,54.9,55.92,84.32,0.0546,57.0,140.7,148.1,148.2,17.76,17.78,18.11,18311.8,0,0,,,,,29.1,195.504753,28.65,625888,4.78,6135,71310,71839,71756,115.8
backend_auto,batch8_balanced,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,1024,16,8,16,0,106.0,154.53,310.26,0.1509,200.0,865.8,762.6,1634.7,50.94,51.78,51.96,52973.1,0,0,,,,,29.1,195.504753,28.65,625888,4.78,6135,71310,72320,72217,151.7
backend_triton,single_stream,ok,fp8,131072,16,fp8,0.5,off,0,False,512,1024,3,1,3,0,54.9,56.0,84.44,0.0547,57.0,140.0,148.5,149.3,17.74,17.74,18.08,18284.4,0,0,,,,,29.1,236.092138,28.8,629104,4.8,6583,71558,72101,71992,115.8
backend_triton,batch8_balanced,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,1024,16,8,16,0,108.1,151.57,304.32,0.148,208.0,855.9,747.6,1622.9,51.96,53.67,52.87,54008.4,0,0,,,,,29.1,236.092138,28.8,629104,4.8,6583,71558,72081,72037,153.6
kv_auto,single_stream,ok,fp8,131072,16,auto,0.5,off,0,False,512,1024,3,1,3,0,55.9,54.95,82.86,0.0537,56.0,140.8,148.5,150.1,18.08,18.09,18.48,18633.2,0,0,,,,,29.1,233.473667,29.17,318656,2.43,6131,71424,72132,71865,117.7
kv_auto,batch8_balanced,ok,fp8,131072,16,auto,0.5,off,0,False,1024,1024,16,8,16,0,116.9,140.15,281.39,0.1369,200.0,861.7,764.7,1605.9,56.25,57.17,57.09,58408.9,0,0,,,,,29.1,233.473667,29.17,318656,2.43,6131,71424,71956,71910,163.4
kv_auto,codegen_decode,ok,fp8,131072,16,auto,0.5,off,0,False,1024,4096,8,8,8,0,264.7,123.8,154.99,0.0302,191.0,818.9,870.0,1205.0,64.42,64.53,67.33,264618.5,0,0,,,,,29.1,233.473667,29.17,318656,2.43,6131,71424,71964,71934,445.9
kv_fp8,single_stream,ok,fp8,131072,16,fp8,0.5,off,0,False,512,1024,3,1,3,0,54.7,56.12,84.61,0.0548,57.0,142.0,151.2,151.4,17.7,17.7,18.05,18247.2,0,0,,,,,29.1,237.275055,29.33,640672,4.89,6127,71466,72461,72406,115.3
kv_fp8,batch8_balanced,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,1024,16,8,16,0,105.5,155.31,311.84,0.1517,208.0,744.4,752.0,1170.6,50.79,51.47,51.86,52705.1,0,0,,,,,29.1,237.275055,29.33,640672,4.89,6127,71466,72516,72483,150.8
kv_fp8,codegen_decode,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,4096,8,8,8,0,243.2,134.71,168.66,0.0329,200.0,780.0,831.2,1151.6,59.19,59.31,60.56,243175.5,0,0,,,,,29.1,237.275055,29.33,640672,4.89,6127,71466,72519,72500,411.2
seqs_1,single_stream,ok,fp8,131072,1,fp8,0.5,off,0,False,512,1024,3,1,3,0,54.9,55.92,84.31,0.0546,57.0,142.3,150.0,151.8,17.76,17.77,18.11,18313.2,0,0,,,,,29.1,199.150043,28.75,628048,4.79,6547,71094,71827,71759,115.8
seqs_1,batch4_balanced,ok,fp8,131072,1,fp8,0.5,off,0,False,1024,1024,12,4,12,0,222.5,55.22,110.88,0.0539,57.0,46539.3,55809.9,55840.3,17.95,17.98,19.35,64904.6,0,0,,,,,29.1,199.150043,28.75,628048,4.79,6547,71094,71791,71773,283.9
seqs_4,single_stream,ok,fp8,131072,4,fp8,0.5,off,0,False,512,1024,3,1,3,0,54.9,55.93,84.33,0.0546,57.0,142.9,151.8,152.7,17.76,17.77,18.11,18309.8,0,0,,,,,29.1,200.106274,28.7,627024,4.78,6553,71145,71953,71873,115.8
seqs_4,batch4_balanced,ok,fp8,131072,4,fp8,0.5,off,0,False,1024,1024,12,4,12,0,121.7,100.96,202.71,0.0986,120.0,580.0,532.7,1103.8,39.08,40.19,39.63,40558.1,0,0,,,,,29.1,200.106274,28.7,627024,4.78,6553,71145,72009,71953,167.7
seqs_4,saturate16,ok,fp8,131072,4,fp8,0.5,off,0,False,1024,1024,32,16,32,0,321.1,102.05,204.9,0.0997,120.0,91024.7,120663.7,122744.0,38.89,40.52,40.56,130804.2,0,0,,,,,29.1,200.106274,28.7,627024,4.78,6553,71145,71976,71953,367.4
seqs_8,single_stream,ok,fp8,131072,8,fp8,0.5,off,0,False,512,1024,3,1,3,0,55.0,55.85,84.21,0.0545,57.0,140.0,146.7,151.3,17.79,17.8,18.13,18334.5,0,0,,,,,29.1,231.688265,28.84,630096,4.81,6568,71161,72050,71971,115.9
seqs_8,batch8_balanced,ok,fp8,131072,8,fp8,0.5,off,0,False,1024,1024,16,8,16,0,107.1,152.93,307.06,0.1493,200.0,870.1,761.0,1653.7,51.47,52.12,52.54,53524.6,0,0,,,,,29.1,231.688265,28.84,630096,4.81,6568,71161,72126,72067,153.1
seqs_8,saturate16,ok,fp8,131072,8,fp8,0.5,off,0,False,1024,1024,32,16,32,0,218.6,149.91,300.99,0.1464,208.0,41818.7,54682.4,57380.9,52.82,54.6,55.48,95858.4,0,0,,,,,29.1,231.688265,28.84,630096,4.81,6568,71161,72103,72075,264.3
seqs_16,single_stream,ok,fp8,131072,16,fp8,0.5,off,0,False,512,1024,3,1,3,0,55.0,55.83,84.18,0.0545,57.0,142.0,149.3,151.1,17.79,17.81,18.14,18341.1,0,0,,,,,29.1,201.48943,29.21,638064,4.87,6536,71612,72499,72380,115.9
seqs_16,batch8_balanced,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,1024,16,8,16,0,108.5,151.04,303.26,0.1475,200.0,862.1,756.2,1627.2,52.13,53.45,53.4,54195.5,0,0,,,,,29.1,201.48943,29.21,638064,4.87,6536,71612,72469,72419,153.9
seqs_16,saturate32,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,1024,64,32,64,0,306.6,213.73,429.12,0.2087,319.0,58264.5,75896.8,79002.1,74.11,76.02,75.23,134079.9,0,0,,,,,29.1,201.48943,29.21,638064,4.87,6536,71612,72472,72129,352.4
seqs_32,single_stream,ok,fp8,131072,32,fp8,0.5,off,0,False,512,1024,3,1,3,0,55.0,55.83,84.18,0.0545,57.0,141.3,149.7,150.1,17.79,17.81,18.14,18342.4,0,0,,,,,29.1,239.440642,28.65,625840,4.77,6089,70814,71730,71601,115.9
seqs_32,batch8_balanced,ok,fp8,131072,32,fp8,0.5,off,0,False,1024,1024,16,8,16,0,106.7,153.55,308.3,0.1499,208.0,862.8,759.3,1624.7,51.27,51.98,52.27,53310.1,0,0,,,,,29.1,239.440642,28.65,625840,4.77,6089,70814,71689,71650,152.4
seqs_32,saturate32,ok,fp8,131072,32,fp8,0.5,off,0,False,1024,1024,64,32,64,0,217.1,301.89,606.14,0.2948,480.0,1702.2,1117.1,4463.8,104.16,106.25,107.65,108259.1,0,0,,,,,29.1,239.440642,28.65,625840,4.77,6089,70814,72073,71981,263.1
prefix_off,agent_turn_solo,ok,fp8,131072,16,fp8,0.5,off,0,False,400,600,20,1,20,0,254.0,45.73,708.59,0.0788,52.0,1444.3,1440.8,1473.9,19.41,19.45,20.13,12697.7,0,0,,,,,29.1,194.487617,29.43,642928,4.91,6104,71199,72247,72191,294.9
prefix_off,agent_turn_parallel,ok,fp8,131072,16,fp8,0.5,off,0,False,400,600,40,8,40,0,242.9,101.41,1485.93,0.1647,160.0,2722.1,1675.1,10575.7,71.18,78.15,71.99,46331.2,0,0,,,,,29.1,194.487617,29.43,642928,4.91,6104,71199,72225,72196,277.7
prefix_on,agent_turn_solo,ok,fp8,131072,16,fp8,0.5,off,0,True,400,600,20,1,20,0,228.6,50.79,787.1,0.0875,52.0,183.9,179.8,220.3,19.4,19.45,20.14,11431.2,0,0,,,,,29.1,243.407915,29.29,639808,4.88,6083,71247,72203,72099,267.5
prefix_on,agent_turn_parallel,ok,fp8,131072,16,fp8,0.5,off,0,True,400,600,40,8,40,0,166.4,148.01,2168.68,0.2404,208.0,324.6,288.4,729.3,50.29,52.55,51.44,31298.3,0,0,,,,,29.1,243.407915,29.29,639808,4.88,6083,71247,72117,72084,196.7
ctx_8k,ctx8k_load,ok,fp8,8192,16,fp8,0.4,off,0,False,3600,800,12,8,12,0,82.2,116.83,643.72,0.146,184.0,2002.2,1612.3,4100.0,52.23,57.6,53.81,43734.1,0,0,,,,,29.1,234.344826,16.62,363104,44.32,6105,58159,59138,59012,121.2
ctx_32k,ctx32k_load,ok,fp8,32768,12,fp8,0.4,off,0,False,14000,3000,6,4,6,0,261.0,68.97,391.0,0.023,88.0,5532.4,4627.5,10415.4,45.88,53.63,46.83,143141.3,0,0,,,,,29.1,236.524033,16.77,366416,11.18,6098,58212,59177,59075,416.4
ctx_65k,ctx65k_load,ok,fp8,65536,8,fp8,0.45,off,0,False,28000,4000,4,3,4,0,351.9,45.47,363.86,0.0114,57.0,12912.4,11376.7,21351.1,50.57,60.15,52.79,215143.5,0,0,,,,,29.1,234.925989,22.75,496976,7.58,6079,64382,65396,65305,604.2
ctx_131k,ctx131k_load,ok,fp8,131072,4,fp8,0.5,off,0,False,56000,8000,2,2,2,0,435.9,36.71,293.71,0.0046,44.0,33304.6,33304.6,44087.1,50.27,51.57,50.3,435439.3,0,0,,,,,29.1,235.537327,29.24,638704,4.87,6163,71592,72501,72457,1139.1
ctx_262k,ctx262k_load,ok,fp8,262144,2,fp8,0.55,off,0,False,115000,8000,1,1,1,0,419.6,19.07,293.15,0.0024,24.0,80438.7,80438.7,80438.7,42.4,42.4,43.22,419606.2,0,0,,,,,29.1,240.60417,34.68,757680,2.89,6561,76927,77509,77460,1685.3
batched_4096,codegen_decode,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,4096,8,8,8,0,243.3,134.69,168.63,0.0329,208.0,1083.7,1185.2,1364.9,59.14,59.32,59.79,243249.3,0,0,,,,,29.1,229.114706,28.76,628240,4.79,5864,70929,71804,71730,416.5
batched_8192,codegen_decode,ok,fp8,131072,16,fp8,0.5,off,0,False,1024,4096,8,8,8,0,249.9,131.12,164.16,0.032,209.0,831.2,890.5,1056.4,60.82,60.94,61.81,249880.8,0,0,,,,,29.1,233.043979,28.55,623776,4.76,5859,70847,71909,71805,420.9
