config,workload,status,model,max_model_len,max_num_seqs,kv_cache_dtype,gpu_mem_util,spec,num_spec_tokens,prefix_caching,input_len,output_len,num_prompts,concurrency,completed,failed,duration_s,output_tok_s,total_tok_s,req_s,max_output_tok_s,mean_ttft_ms,p50_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_itl_ms,mean_e2el_ms,spec_accept_rate,spec_accept_len,spec_pos0,spec_pos1,spec_pos2,spec_pos3,server_model_load_gib,server_model_load_s,server_kv_cache_gib,server_kv_cache_tokens,server_max_concurrency_x,mem_base_mb,mem_ready_mb,mem_peak_mb,mem_mean_mb,wall_s
fp8_spec_off,single_stream,ok,fp8,32768,32,fp8,0.65,off,0,False,512,1024,3,1,3,0,423.0,7.26,11.27,0.0071,8.0,415.3,449.0,452.8,137.43,137.66,137.3,141006.8,0,0,,,,,27.64,109.461145,46.32,1321642,40.33,5178,87217,88291,88183,851.7
fp8_spec_off,batch8_balanced,ok,fp8,32768,32,fp8,0.65,off,0,False,1024,1024,16,8,16,0,325.6,50.31,103.2,0.0491,56.0,3832.1,3625.2,6698.0,155.25,161.12,155.39,162652.5,0,0,,,,,27.64,109.461145,46.32,1321642,40.33,5178,87217,89077,88717,476.1
fp8_spec_off,codegen_decode,ok,fp8,32768,32,fp8,0.65,off,0,False,1024,4096,8,8,8,0,646.4,50.69,64.01,0.0124,56.0,3819.1,4176.0,5111.5,156.87,157.41,157.67,646187.7,0,0,,,,,27.64,109.461145,46.32,1321642,40.33,5178,87217,89822,89139,1265.6
fp8_spec_off,saturate32,ok,fp8,32768,32,fp8,0.65,off,0,False,1024,1024,64,32,64,0,435.1,150.61,308.92,0.1471,192.0,7766.1,4857.7,20036.4,204.48,210.09,204.6,216952.9,0,0,,,,,27.64,109.461145,46.32,1321642,40.33,5178,87217,89637,89247,586.1
fp8_spec_1,single_stream,ok,fp8,32768,32,fp8,0.65,mtp1,1,False,512,1024,3,1,3,0,296.3,10.37,16.09,0.0101,7.0,569.9,552.2,646.8,96.0,98.81,162.42,98780.6,68.6264,1.686,0.6863,,,,28.08,139.853251,44.86,1059498,32.33,5573,87698,92138,89610,601.2
fp8_spec_1,batch8_balanced,ok,fp8,32768,32,fp8,0.65,mtp1,1,False,1024,1024,16,8,16,0,234.7,69.8,143.17,0.0682,50.0,3282.9,1791.3,9171.1,104.5,122.13,184.91,110183.9,77.1527,1.772,0.7715,,,,28.08,139.853251,44.86,1059498,32.33,5573,87698,91746,89969,347.7
fp8_spec_1,codegen_decode,ok,fp8,32768,32,fp8,0.65,mtp1,1,False,1024,4096,8,8,8,0,442.3,74.08,93.55,0.0181,48.0,4588.7,4760.2,6888.5,100.27,106.28,180.74,415193.9,79.4851,1.795,0.7949,,,,28.08,139.853251,44.86,1059498,32.33,5573,87698,91997,89907,845.7
fp8_spec_1,saturate32,ok,fp8,32768,32,fp8,0.65,mtp1,1,False,1024,1024,64,32,64,0,371.7,176.3,361.62,0.1722,138.0,7082.9,2834.7,21900.6,156.54,192.78,278.0,167227.5,77.8505,1.779,0.7785,,,,28.08,139.853251,44.86,1059498,32.33,5573,87698,91697,90398,486.3
fp8_spec_2,single_stream,ok,fp8,32768,32,fp8,0.65,mtp2,2,False,512,1024,3,1,3,0,261.3,11.76,18.25,0.0115,6.0,641.5,673.1,681.9,84.51,88.65,179.48,87090.3,56.4796,2.13,0.6729,0.4567,,,28.08,127.993113,46.78,984132,30.03,8101,90642,93321,91669,550.5
fp8_spec_2,batch8_balanced,ok,fp8,32768,32,fp8,0.65,mtp2,2,False,1024,1024,16,8,16,0,207.6,78.94,161.92,0.0771,48.0,4457.4,1640.8,10221.4,86.47,106.58,204.92,92918.7,68.828,2.377,0.7695,0.607,,,28.08,127.993113,46.78,984132,30.03,8101,90642,92836,91960,308.7
